Name,CJ_Mission?,Mission Statement,
Texas Appleseed,No,"Texas Appleseed promotes social, ecoNomic, and racial justice for all Texans by leveraging the skills and resources of volunteer lawyers, other professionals, and community partners to identify practical solutions to difficult, systemic problems.","Projects include: Criminal Justice Reform, Disaster Recovery & Fair Housing, Education Justice (including School-to-Prison Pipeline, Fair Financial Services, Foster Care & Courts and Youth Homelessness."
Public Justice Foundation,No,"Public Justice pursues high impact lawsuits to combat social and ecoNomic injustice, protect the Earth’s sustainability, and challenge predatory corporate conduct and government abuses.",Listed as just Public Justice online. ED LinkedIn: linkedin.com/in/paul-bland-2780494
RESOURCE MEDIA,No,"A Nonprofit communications firm with a mission to drive social change. We seek out advocates fighting for access to health, equity, justice and sustainability, and bring our own set of communications principles to everything we do.",Staff and phone numbers located in nine offices throughout U.S. ED LinkedIn: linkedin.com/in/prpilarmontoya
Center for Victims,No,"Center for Victims (CV) is a community based Nonprofit organization and the largest, most comprehensive, inclusive provider of services, advocacy, and education for victims of all crime in the Commonwealth of Pennsylvania. Supporting victims, healing trauma, creating more peaceful communities.","Along with a 24-hour hotline, callers also have access to staff which includes more than 75 advocates, counselors, therapists, mediators and trainers. They also helps callers to identify their needs and connects them to resources."
California Catholic Conference Inc,No,"The mission of the California Catholic Conference (CCC) is to advocate with the legislative, administrative and judicial branches of state government for the Catholic Church's public policy agenda and to facilitate common pastoral efforts in the Catholic community. The CCC also enables ecumenical and interfaith dialogue and action.",The California Catholic Conference is the staff office of the California Catholic Conference of Bishops. It is the official voice of the Catholic community in California's public policy arena.
Advocates for Youth,No,"Advocates for Youth partners with youth leaders, adult allies, and youth-serving organizations to advocate for policies and champion programs that recognize young people’s rights to: honest sexual health information; accessible, confidential, and affordable sexual health services; and the resources and opportunities necessary to create sexual health equity for all youth.",Advocates for Youth is one of the few organizations working both in the U.S. and in the global south with a sole focus on youth sexual health and rights. ED LinkedIn: linkedin.com/in/debra-hauser-0a734a26
CHAMPLAIN COMMUNITY SERVICES,No,"Champlain Community Services (CCS) is a developmental services and health care provider offering highly personalized and carefully coordinated supports to Vermonters with intellectual disabilities and autism. Specializing in employment and career development, they also provide supports at home, at school, and in the community.",CCS is a Specialized Service Agency (SSA) within the State of Vermont’s Developmental Services System.
New Beginnings Family Academy Inc,No,"New Beginnings Family Academy provides students a meaningful, high-quality education through experience-based learning that helps them develop essential social, emotional and critical-thinking skills. This gives all children a foundation to achieve their full potential at every stage of life.",NBFA is a tuition-free public charter school for students in grades Pre-K through 8th.
Womankind (formerly New York Asian Women's Center),No,Womankind uses the multidimensionality of its Asian heritage to work alongside survivors of gender-based violence as they build a path to healing.,"They offer a wide variety of services in 18+ Asian languages and dialects, including: a toll-free 24/7 multilingual helpline, safe and confidential emergency housing, culturally-informed counseling, family law and immigration legal assistance, wellness activities, creative arts therapy, support groups, and ecoNomic empowerment workshops."
CHOICES FOR VICTIMS OF DOMESTIC VIOLENCE,No,"As part of the Lutheran Social Services’ Network of Hope, our mission is to create a better world by serving people in need. We live out our faith by interrupting the cycle of domestic violence in our community and advocating for social change.","They provide a 24-hour crisis hotline, emergency shelter, counseling, legal and community advocacy, education speakers bureau, peer support and even pet kennels for domestic abuse crises."
Flanner House of Indianapolis Inc,No,"To support, advocate for and empower individuals, children and families by applying educational, social and ecoNomic resources that move members of the community towards stabilization, and self-sufficiency.","Their programs include; Food Justice, EcoNomic Development, Seniors Program, Center for Working Families and Child Development Center."
DreamYard,No,"DreamYard collaborates with Bronx youth, families and schools to build pathways to equity and opportunity through the arts.","DreamYard is the largest arts provider in the Bronx and a nationally recognized community arts organization that uses the arts, digital tools, and social justice to transform students, schools, and communities."
HousingPlus,No,"To provide community-based housing and comprehensive services to women, including women with children, to support them in overcoming poverty, homelessness, addiction, trauma, and the effects of incarceration, in order to build lives of stability, and to define and realize goals for themselves and for their families.","Programs include: Housing and Support Services, The Women's Community Justice Project, Veterans, Employment and Educational Services and Trauma and Mental Health Services."
The New Press,No,"The New Press amplifies progressive voices for a more inclusive, just, and equitable world. As a Nonprofit public-interest publisher, we leverage books, diverse voices, and media engagement to facilitate social change, enrich public discourse, and defend democratic values","In addition to revenue earned from book sales, The New Press also relies on the support of institutional and individual doNors."
Family Service of Northwest Ohio,No,Creating hope through superior integrated community healthcare.,"Family Service of Northwest Ohio chose to close its office in Wood County. In order to provide continuity of care to their clients, FSNO transitioned their staff members over to Unison Health as of Feb. 1, 2018. Info in spreadsheet is for Unison Health in Bowling Green."
NORTH CAROLINA JUSTICE CENTER,No,"As a leading progressive research and advocacy organization, our mission is to eliminate poverty in North Carolina by ensuring that every household in the state has access to the resources, services, and fair treatment it needs to achieve ecoNomic security.","The NC Justice Center works through seven projects that provide in-depth expertise in the major policy areas impacting poor and working North Carolinians: Consumer, Housing & Energy Project, Education & Law Project, Fair Chance Criminal Justice Project, Health Advocacy Project, Immigrant & Refugee Rights Project, NC Policy Watch, and the Workers’ Rights Project."
GREATER WYOMING BIG BROTHERS BIG SISTERS,No,Create and support one-to-one mentoring relationships that ignite the power and promise of youth.,"BBBS of WY Not only has mentoring programs, but also after-school programs and juvenile justice programs, throughout nine local branches."
Partnership for Families Children and Adults,No,Empowering People. Building Communities.,"Serving the Tennessee Valley community for 140 years through counseling, crisis intervention and prevention services."
LEGAL ACTION CENTER,No,"The Legal Action Center (LAC) uses legal and policy strategies to fight discrimination, build health equity, and restore opportunity for people with arrest and conviction records, substance use disorders, and HIV or AIDS. LAC seeks to end punitive responses to health conditions like addiction, mental illness, and HIV, and to create equitable access to affordable, quality treatment.","They achieve their mission through: direct legal services, impact litigation, policy advocacy, education and training, and coalition-building. They offer free legal services to individuals who have arrest or conviction records, substance use disorders, HIV, or AIDS."
